0.001065,3,769,8,50,251,1,254,88,8,0,0,0,0,0,0,0,0,0,0,0,0
0.001315,3,770,8,197,250,72,254,0,0,44,12,0,0,0,0,0,0,0,0,0,0
0.001690,3,771,8,252,255,247,255,0,0,44,124,0,0,0,0,0,0,0,0,0,0
0.001942,3,2042,8,89,124,0,0,255,8,0,0,0,0,0,0,0,0,0,0,0,0
0.002191,3,2043,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002191,3,2045,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002565,2,896,8,0,103,51,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0.002823,2,1160,8,60,62,62,125,161,0,0,224,0,0,0,0,0,0,0,0,0,0
0.003190,2,1504,8,32,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0
0.003441,2,194,8,204,0,0,0,128,128,0,179,0,0,0,0,0,0,0,0,0,0
0.003690,2,174,8,161,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.003941,2,416,8,0,71,192,50,254,254,0,58,0,0,0,0,0,0,0,0,0,0
0.004191,2,672,8,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0
0.004440,2,1184,8,206,50,180,50,204,255,204,255,0,0,0,0,0,0,0,0,0,0
0.004816,3,768,8,196,99,41,101,193,55,0,0,0,0,0,0,0,0,0,0,0,0
0.005065,3,769,8,50,251,1,254,97,8,0,0,0,0,0,0,0,0,0,0,0,0
0.005316,3,770,8,193,250,72,254,0,0,45,12,0,0,0,0,0,0,0,0,0,0
0.005690,3,771,8,249,255,248,255,0,0,45,124,0,0,0,0,0,0,0,0,0,0
0.005940,3,2042,8,90,124,0,0,255,8,0,0,0,0,0,0,0,0,0,0,0,0
0.006315,3,2043,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006315,30,1389188425.733804,0.004816,255.399994,258.970001,142.729996,-24.600000,-10.220000,42.900002,-1.343000,-0.440000,0.000000,-0.070000,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
0.006316,3,2045,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007440,2,208,6,232,202,1,56,59,32,0,0,0,0,0,0,0,0,0,0,0,0
0.008818,3,768,8,196,99,47,101,199,55,0,0,0,0,0,0,0,0,0,0,0,0
0.009066,3,769,8,50,251,4,254,100,8,0,0,0,0,0,0,0,0,0,0,0,0
0.009315,3,770,8,192,250,70,254,0,0,46,12,0,0,0,0,0,0,0,0,0,0
0.009691,3,771,8,250,255,247,255,0,0,46,124,0,0,0,0,0,0,0,0,0,0
0.009940,3,2042,8,91,124,0,0,255,8,0,0,0,0,0,0,0,0,0,0,0,0
0.010191,3,2043,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010191,30,1389188425.737680,0.008818,255.399994,259.029999,142.789993,-24.600000,-10.160000,42.959999,-1.344000,-0.442000,0.000000,-0.060000,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
0.010440,3,2045,2,246,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012315,2,800,8,36,0,32,155,50,134,53,142,0,0,0,0,0,0,0,0,0,0
0.012566,2,80,4,0,240,112,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012824,2,896,8,0,103,51,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0.012818,3,768,8,199,99,41,101,202,55,0,0,0,0,0,0,0,0,0,0,0,0
0.013066,3,769,8,52,251,1,254,102,8,0,0,0,0,0,0,0,0,0,0,0,0
0.013191,2,640,8,8,62,188,31,62,51,19,63,0,0,0,0,0,0,0,0,0,0
0.013192,2,1160,8,44,62,62,125,161,0,0,240,0,0,0,0,0,0,0,0,0,0
0.013315,3,770,8,192,250,73,254,0,0,47,12,0,0,0,0,0,0,0,0,0,0
0.013441,2,1152,8,193,0,99,163,25,0,6,30,0,0,0,0,0,0,0,0,0,0
0.013690,2,194,8,204,0,0,0,128,144,0,163,0,0,0,0,0,0,0,0,0,0
0.013696,3,771,8,250,255,249,255,0,0,47,124,0,0,0,0,0,0,0,0,0,0
0.013855,1,1.325992,-0.400703,9.530131,-0.003057,0.031677,-0.002683,0.564658,0.194560,-1.783353,-2.359587,-6.808227,-8.520804,0,0,0,0,0,0,0,0
0.013946,2,648,8,217,183,144,0,49,80,154,16,0,0,0,0,0,0,0,0,0,0
0.013940,3,2042,8,92,124,0,0,255,8,0,0,0,0,0,0,0,0,0,0,0,0
0.014066,2,174,8,177,176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.014191,3,2043,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014191,30,1389188425.741680,0.012818,255.429993,258.970001,142.820007,-24.559999,-10.220000,43.000000,-1.344000,-0.439000,0.000000,-0.060000,-0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
0.014191,3,2045,2,253,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
